ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References
376,5,2,nanu yaca,於是,403;437;521;533;574;591;603,
377,5,2,tbcyan,分散,521;713;744,
378,5,2,hkani,尋找,522,
379,5,3,phgup,醫療,,
380,5,3,mnanak,特殊,494;525;527;538;666;671;771;806;809,
381,5,3,llyuw,前端,,
382,5,3,bnʼuy,醫療筷,527;528,
383,5,3,byinuk,箭竹,,
384,5,3,crayanan,圓珠子,,
385,5,3,pʼutan,訊問,438;532,
386,5,3,iwan,表示,532;664,
387,5,3,phgupan,病因,533,
388,5,3,pngsa,獻上,534,
389,5,3,skut,殺,,
390,5,3,sina,祈求,537,
391,5,4,byating,月份,541;542;548,
392,5,4,kluh,收割,540;541;542,
393,5,4,utux bbwan,同一家族,544;754;779;836;838;842;843;847,
394,5,4,mʼout,聚集,,
395,5,4,lmon,預備,385;544;546,
396,5,4,hmirʼ,破壞,,
397,5,4,tmsuʼan,結束,452;469;549;637;768,
398,5,4,paʼsan,慶祝,555,
399,5,4,knʼowiy,辛勞,555,
400,5,5,syasing,照片,372,
401,5,5,psʼutux,結婚,558,
402,5,5,plukus,穿衣,559;560;561,
403,5,5,syebiroʼ,西裝,560,
404,5,5,yaney,姊夫,560;841,
405,5,5,lukus lmwan,泰雅長衣,561,
406,5,5,ini kʼyamil,打赤腳,561,
407,5,5,syow,旁邊,425;426;457;466;489;563;818;823,
408,5,5,suruw,後面,564;602;609;634;684;685;702;780,
409,5,5,kthowey,胖胖,565,
410,5,5,kuʼing,我,558;566,
411,5,6,pʼyuw,變遷,570;720,
412,5,6,Nangoga,南澳鄉,,
413,5,6,soncyo,村長,571,
414,5,6,rayhyo,代表,571,
415,5,6,gocyo,鄉長,571,
416,5,6,giying,議員,571,
417,5,6,gnwayow,選舉,572,
418,5,6,mubuy,繼續,573,
419,5,6,rmow,推動,470;573;744;748;750;752;754;758;768;778,
420,5,6,sʼehu,公職,574;599,
421,5,6,smungus,規劃,574,
422,5,6,pntyagan,職務,575;716;720,
423,5,6,bokusi,牧師,576,
424,5,6,gokosyo,鄉公所,577,
425,5,7,kmiyap,捉,582,
426,5,7,bangus,和尚魚,585,
427,5,7,kalang,絨額青毛蟹,585,
428,5,7,bolung,蝦子,585,
429,5,7,knutan,採集,586,
430,5,7,pori waniʼ,黃籐心,586,
431,5,7,kryuhing,山蘇,586,
432,5,7,hbyatiy,採集,590,
433,5,7,puʼing,根,590;694,
434,5,8,mʼyanux,生活,693,
435,5,8,skura,對於,634;725;728;751;821;830,
436,5,8,kbleʼan,製品,595,
437,5,8,cinbwana,世界,595;597;693;720;727,
438,5,8,pcʼrux,造就,596,
439,5,8,puyut,消失,598,
440,5,8,kmihuy,開挖,599,
441,5,8,holun,流入,600,
442,5,8,kyupan,進入,602,
443,5,8,sluhiy,崩塌,602,
444,5,8,msulung,效法,,
445,5,8,hkngyan,美德,604;779;793,
446,5,8,sbil,留給,605,
447,5,9,cpngan,成績,454;455;608;611;612;616;618;626;635;637,
448,5,9,helow,快,649;653;835,
449,5,9,utux kbhul,一百,611,
450,5,9,knhelow,速度,611;649;653,
451,5,9,utux meta,一公尺,613,
