ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References,,,,,,,,
464,5,11,qilis,受傷,,,,,,,,,,
465,5,11,spliq,拉肚子,,,,,,,,,,
466,5,12,llaqi,孩子們,680;684;726;749,,,,,,,,,
467,5,12,pung,聽,679;681,,,,,,,,,
468,5,12,keʼ,話語,565;585;679;681;682;683,,,,,,,,,
469,5,12,si,直接,691;711;715;717;726,,,,,,,,,
470,5,12,inlungan,內心,837,,,,,,,,,
471,5,12,qani,這個,682;683;686;688;689;690,,,,,,,,,
472,5,12,kinbkisal,祖先,,,,,,,,,,
473,5,12,paras,帶來,353,,,,,,,,,
474,5,12,insuna,生命,688,,,,,,,,,
475,5,12,cinbaqan,智慧,689;604,,,,,,,,,
476,5,12,snonan,盼望,690,,,,,,,,,
477,5,12,sinbilan,遺留,604;679;691,,,,,,,,,
478,6,1,lungan,心地,685;697;782;837;842,,,,,,,,,
479,6,1,hmut,隨便,599;641;699;772;777,,,,,,,,,
480,6,1,mbrus,說謊,699,,,,,,,,,
481,6,1,qilang,懶惰,700,,,,,,,,,
482,6,1,mnayang,開墾,701,,,,,,,,,
483,6,1,mqumah,除草,701,,,,,,,,,
484,6,1,kmloh,收割,701,,,,,,,,,
485,6,2,htgan,出生,707;748,,,,,,,,,
486,6,2,smi,取,708;709;710;714;809,,,,,,,,,
487,6,2,sʼagal,取自,711;713,,,,,,,,,
488,6,2,mʼubuy,連接,658;666;709,,,,,,,,,
489,6,2,qqsinux,獸類,711,,,,,,,,,
490,6,2,kʼman,花草,713,,,,,,,,,
491,6,2,qhuniq,樹木,591;599;603,,,,,,,,,
492,6,3,sinqasan,慶典,717,,,,,,,,,
493,6,3,mtalam,競技,,,,,,,,,,
494,6,3,lama,事先,722,,,,,,,,,
495,6,3,kbalay,製作,722;831,,,,,,,,,
496,6,3,nniqun,食物,722,,,,,,,,,
497,6,3,qwaw,酒,722,,,,,,,,,
498,6,3,laxiy,不要,727,,,,,,,,,
499,6,3,yungi,忘記,727,,,,,,,,,
500,6,4,matas,紋面,730;731;735,,,,,,,,,
501,6,4,mqbaq,學習,,,,,,,,,,
502,6,4,mgaga,習俗,608,,,,,,,,,
503,6,4,qmayah,旱田,733,,,,,,,,,
504,6,4,qaniy,這個,,,,,,,,,,
505,6,4,lihuy,額頭,736;737,,,,,,,,,
506,6,4,qabay,下巴,736,,,,,,,,,
507,6,4,rqyas,臉頰,737,,,,,,,,,
508,6,5,cinpuqing,來源,745,,,,,,,,,
509,6,5,Pinsbkan,賓斯博干,746,,,,,,,,,
510,6,5,mqsliq,相互喜歡,,,,,,,,,,
511,6,5,msqun,在一起,800,,,,,,,,,
